hXX,simID,pop,subset_value,prop_ROH_single,prpp_Non_ROH_single,prop_ROH_homo,prop_Non_ROH_homo,mean_count_single,mean_count_homo
h00,1570311740684473341,p3,1.0,0.22684025261692656,0.7731597473830734,0.3673080020132134,0.6326919979867865,82.422,46.574
h00,1579713873460986888,p1,0.3,0.10360879320368843,0.8963912067963116,0.14071158365086553,0.8592884163491346,32.216,18.032
h00,1579713873460986888,p2,0.3,0.16698659721827466,0.8330134027817253,0.22320398155933893,0.7767960184406612,29.006,19.234
h00,1579713873460986888,p3,0.3,0.20811242137690134,0.7918875786230987,0.30286196014915223,0.6971380398508477,31.368,19.314
h00,1579713873460986888,p1,1.0,0.10067604289321844,0.8993239571067816,0.16813353022641273,0.8318664697735874,105.264,51.324
h00,1579713873460986888,p2,1.0,0.1875909790272512,0.8124090209727488,0.28221107731482525,0.7177889226851748,96.438,57.836
h00,1579713873460986888,p3,1.0,0.2069632040974565,0.7930367959025434,0.33363949622708367,0.6663605037729162,101.694,58.242
h00,1640035823564240350,p1,0.3,0.11384485330859816,0.8861551466914018,0.1790196056695283,0.8209803943304719,29.71,15.336
h00,1640035823564240350,p2,0.3,0.1894351543856971,0.810564845614303,0.2923886020670076,0.7076113979329923,25.078,14.748
h00,1640035823564240350,p3,0.3,0.23393700145352608,0.7660629985464739,0.3341289096610304,0.6658710903389694,23.708,15.014
h00,1640035823564240350,p1,1.0,0.09738367475316198,0.902616325246838,0.1635131720016227,0.8364868279983773,103.84,51.438
h00,1640035823564240350,p2,1.0,0.1839080458781176,0.8160919541218824,0.2712172373790861,0.7287827626209139,87.432,54.408
h00,1640035823564240350,p3,1.0,0.218293205305858,0.781706794694142,0.3114480220408687,0.6885519779591314,86.446,54.382
h00,1667204476426382146,p1,0.3,0.09813172128373585,0.9018682787162642,0.14542200022200022,0.8545779997779999,23.78,11.532
h00,1667204476426382146,p2,0.3,0.17343285741844913,0.8265671425815508,0.26939253458959345,0.7306074654104066,23.372,12.82
h00,1667204476426382146,p3,0.3,0.20134018387323982,0.7986598161267602,0.31151971949619006,0.6884802805038098,23.014,12.444
h00,1667204476426382146,p1,1.0,0.09200772895406772,0.9079922710459323,0.14986085232521243,0.8501391476747876,111.992,56.92
h00,1667204476426382146,p2,1.0,0.18013689549928238,0.8198631045007175,0.2759809842422798,0.7240190157577201,102.062,60.364
h00,1667204476426382146,p3,1.0,0.21208067604317654,0.7879193239568235,0.30951917388411715,0.6904808261158828,103.264,62.51
h00,1675567405057576839,p1,0.3,0.09510670937056619,0.9048932906294339,0.15745456156330767,0.8425454384366924,34.884,16.674
h00,1675567405057576839,p2,0.3,0.19567579154348252,0.8043242084565174,0.3138971681606558,0.6861028318393442,31.874,18.004
h00,1675567405057576839,p3,0.3,0.1936898267148601,0.8063101732851399,0.29408679206929983,0.7059132079307002,30.498,17.754
h00,1675567405057576839,p1,1.0,0.0951050796090774,0.9048949203909226,0.14911463412157913,0.8508853658784209,119.608,63.634
h00,1675567405057576839,p2,1.0,0.19769414930058377,0.8023058506994163,0.28118240297394664,0.7188175970260534,107.432,68.546
h00,1675567405057576839,p3,1.0,0.2151431222690266,0.7848568777309733,0.28683756574227975,0.7131624342577202,104.236,69.666
h00,1683235848236138391,p1,0.3,0.09761546855995744,0.9023845314400426,0.16793726737658624,0.8320627326234137,32.412,15.84
