"pop","tau","unit",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"European",0.9,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,7708,0.0000000000000000000000000000000000000000000000000000000000000000978,0.0000000000000000000000000000000000000000000000000000000000000000978,"***"
"European",0.9,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,81459,0.00000000566,0.00000000566,"***"
"European",0.9,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,13348,0.000000000000000000000000000000000000000000000000000178,0.000000000000000000000000000000000000000000000000000356,"***"
"European",0.9,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,10335,0.0000000000000000000000000000000000000000000000000000000000732,0.00000000000000000000000000000000000000000000000000000000022,"***"
"European",0.9,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,140,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000294,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000882,"***"
"European",1,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,497,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000249,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000498,"***"
"European",1,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,10741,0.000000000000000000000000000000000000000000000000000000000559,0.000000000000000000000000000000000000000000000000000000000559,"***"
"European",1,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,60477,0.506,0.506,"ns"
"European",1,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,13740,0.00000000000000000000000000000000000000000000000000113,0.00000000000000000000000000000000000000000000000000339,"***"
"European",1,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,15002,0.000000000000000000000000000000000000000000000000395,0.00000000000000000000000000000000000000000000000079,"***"
"European",1,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
