hXX,simID,pop,class,length_Mb,length_cM
h00,1667204476426382146,p1,C,1.220030861111111,1.9911244298245614
h00,1667204476426382146,p2,A,0.06896066557364913,0.04908889066295842
h00,1667204476426382146,p2,B,0.2540179821437761,0.36757267088172324
h00,1667204476426382146,p2,C,0.985461268,1.77454792
h00,1667204476426382146,p3,A,0.07707656821900342,0.054736153346388705
h00,1667204476426382146,p3,B,0.2582833037762591,0.3716444374981867
h00,1667204476426382146,p3,C,0.9601836082089552,1.7200048880597014
h00,1675567405057576839,p1,A,0.0400444969413017,0.02424420180038781
h00,1675567405057576839,p1,B,0.308092292405681,0.4024351834760617
h00,1675567405057576839,p1,C,1.4265917924528302,1.966546289308176
h00,1675567405057576839,p2,A,0.06705069456201455,0.04602641422377176
h00,1675567405057576839,p2,B,0.25212275230553416,0.36226451901003226
h00,1675567405057576839,p2,C,1.0207448645833332,1.926326527777778
h00,1675567405057576839,p3,A,0.07489740319171523,0.053271055086771824
h00,1675567405057576839,p3,B,0.2518911050848158,0.3653827438096421
h00,1675567405057576839,p3,C,0.8303222704590818,1.848286107784431
h00,1683235848236138391,p1,A,0.0396499590345236,0.02398975039016903
h00,1683235848236138391,p1,B,0.3109120933865161,0.39973917241286205
h00,1683235848236138391,p1,C,1.2446970858085808,1.8360259570957096
h00,1683235848236138391,p2,A,0.0680074148316476,0.0471569712927126
h00,1683235848236138391,p2,B,0.2655489518977769,0.3734220501720713
h00,1683235848236138391,p2,C,1.1265160104166667,1.7175917708333333
h00,1683235848236138391,p3,A,0.07445876435657586,0.05336916958692592
h00,1683235848236138391,p3,B,0.25519624893596726,0.37007755581149193
h00,1683235848236138391,p3,C,0.8869338461538462,1.694871581196581
h00,1686481830113721127,p1,A,0.04086233826724152,0.02462172555313828
h00,1686481830113721127,p1,B,0.3236232770416379,0.4083154608210917
h00,1686481830113721127,p1,C,1.4061505068493152,1.9429772945205481
h00,1686481830113721127,p2,A,0.06755735742973669,0.046318305925419634
h00,1686481830113721127,p2,B,0.25581415375468775,0.37202122174355856
h00,1686481830113721127,p2,C,1.083184676229508,1.8196002868852459
h00,1686481830113721127,p3,A,0.07813683657879003,0.05489954640582794
h00,1686481830113721127,p3,B,0.25847178131423315,0.36841119952630796
h00,1686481830113721127,p3,C,0.857555540433925,1.737736291913215
h00,1697761245837672091,p1,A,0.03971442416133678,0.024551146323783333
h00,1697761245837672091,p1,B,0.28614872577637845,0.3971295986013129
h00,1697761245837672091,p1,C,1.3615855833333335,1.9430459154929576
h00,1697761245837672091,p2,A,0.06831283287284128,0.0472062536582401
h00,1697761245837672091,p2,B,0.2591647565406349,0.3645269899142695
h00,1697761245837672091,p2,C,0.909605899717514,1.5977932909604518
h00,1697761245837672091,p3,A,0.07772011925199768,0.055599346381621596
h00,1697761245837672091,p3,B,0.24725016437121577,0.3678960555024383
h00,1697761245837672091,p3,C,0.920348328125,1.4856016796875
h00,1741910082241347924,p1,A,0.039643571815357444,0.02435534062897505
