hXX,simID,pop,tau,Total_V_G,less_than_0_001_V_G,between_0_001_and_0_01_V_G,more_than_0_01_V_G,Covariance,Sum_Check (%)
h00,1026591750036320836,European,0.9,1.947221483525041e-05,0.0,2.8035905134253782e-08,1.9453913415077402e-05,-4.867242480624547e-09,99.99999999999999
h00,1026591750036320836,European,1.0,1.1327821364063203e-05,0.0,8.09512809483357e-09,1.1322645806887394e-05,-1.4597854595110674e-09,100.00000000000001
h00,1026591750036320836,European,1.1,6.667128198385671e-06,0.0,2.3379886798331143e-09,6.665726568937078e-06,-4.681796156185014e-10,100.00000000000003
h00,1026591750036320836,European,1.2,3.945059506455545e-06,0.0,6.753209166259037e-10,3.944704192600544e-06,-1.600035308113071e-10,100.00000000000007
h00,1026591750036320836,European,1.3,2.340275633497308e-06,0.0,1.9507416013660596e-10,2.340196019673995e-06,-5.7730168411132595e-11,100.00000000000006
h00,1026591750036320836,East Asian,0.7,6.680513351410181e-05,0.0,0.0,6.680513351410181e-05,0.0,100.0
h00,1026591750036320836,East Asian,0.8,2.6321925537337483e-05,0.0,0.0,2.6321925537337483e-05,0.0,100.0
h00,1026591750036320836,East Asian,0.9,1.0921295562277116e-05,0.0,0.0,1.0921295562277116e-05,0.0,100.0
h00,1026591750036320836,East Asian,1.0,4.687873179826652e-06,0.0,0.0,4.687873179826652e-06,0.0,100.0
h00,1026591750036320836,East Asian,1.1,2.0561567464999954e-06,0.0,0.0,2.056156746499995e-06,0.0,99.99999999999997
h00,1026591750036320836,East Asian,1.2,9.142359463706064e-07,0.0,0.0,9.142359463706065e-07,0.0,100.0
h00,1026591750036320836,East Asian,1.3,4.100613353184808e-07,0.0,0.0,4.10061335318481e-07,0.0,100.00000000000003
h00,103568543989312214,African,0.7,0.00025783914117855436,0.0,9.393729710380973e-05,0.00016637183933468496,-1.2349976299701598e-06,100.0
h00,103568543989312214,African,0.8,0.00014130261387197086,0.0,6.068709581335639e-05,8.187825805439069e-05,-6.313699978881058e-07,100.0
h00,103568543989312214,African,0.9,7.967959417229338e-05,0.0,3.920619085079184e-05,4.113252427047363e-05,-3.2956047448603377e-07,100.00000000000003
h00,103568543989312214,African,1.0,4.5906113202858184e-05,0.0,2.532870259199999e-05,2.0927878492307692e-05,-1.7523394072474988e-07,99.99999999999999
h00,103568543989312214,African,1.1,2.6909905717545335e-05,0.0,1.6363313065416838e-05,1.0735940942110403e-05,-9.46741449909438e-08,100.00000000000006
h00,103568543989312214,African,1.2,1.6006124818121465e-05,0.0,1.0571327666874334e-05,5.538475887719735e-06,-5.183936823630089e-08,100.0
h00,103568543989312214,African,1.3,9.640826985836908e-06,0.0,6.829483014451872e-06,2.8687416027919628e-06,-2.8698815703463528e-08,100.0
h00,103568543989312214,European,0.7,6.218169613528446e-05,0.0,0.0,6.218169613528446e-05,0.0,100.0
h00,103568543989312214,European,0.8,2.5231402143469244e-05,0.0,0.0,2.523140214346925e-05,0.0,100.00000000000001
h00,103568543989312214,European,0.9,1.0523593271357182e-05,0.0,0.0,1.0523593271357184e-05,0.0,100.00000000000001
h00,103568543989312214,European,1.0,4.473268797975444e-06,0.0,0.0,4.473268797975444e-06,0.0,100.0
h00,103568543989312214,European,1.1,1.9276542831591597e-06,0.0,0.0,1.92765428315916e-06,0.0,100.00000000000001
h00,103568543989312214,European,1.2,8.392214299066962e-07,0.0,0.0,8.392214299066962e-07,0.0,100.0
h00,103568543989312214,European,1.3,3.6824340666354135e-07,0.0,0.0,3.682434066635415e-07,0.0,100.00000000000006
h00,103568543989312214,East Asian,0.7,3.986414532655067e-05,0.0,5.2369855814134415e-15,3.986415231400251e-05,-3.4963444094279887e-12,100.00000000000003
h00,103568543989312214,East Asian,0.8,1.746717247535405e-05,0.0,1.0510840902707303e-16,1.7467173163800587e-05,-3.442758213071469e-13,100.00000000000001
h00,103568543989312214,East Asian,0.9,7.870049771393613e-06,0.0,2.1095680857728818e-18,7.870049835625871e-06,-3.2117183554827466e-14,100.0
h00,103568543989312214,East Asian,1.0,3.6109043440314725e-06,0.0,4.233988079265091e-20,3.6109043499167777e-06,-2.9426735250829463e-15,100.00000000000001
h00,103568543989312214,East Asian,1.1,1.678032034590058e-06,0.0,8.497784535259987e-22,1.6780320351278447e-06,-2.688939005964835e-16,99.99999999999999
h00,103568543989312214,East Asian,1.2,7.872311994318129e-07,0.0,1.7055395682700784e-23,7.87231199481152e-07,-2.466968374574433e-17,99.99999999999997
h00,103568543989312214,East Asian,1.3,3.7203026449175756e-07,0.0,3.4230865784664903e-25,3.7203026449631433e-07,-2.27840319478659e-18,99.99999999999999
h00,1059344429161942577,African,0.7,0.0001233487939298329,0.0,0.0,0.0001233487939298329,0.0,100.0
h00,1059344429161942577,African,0.8,5.410293696330874e-05,0.0,0.0,5.410293696330874e-05,0.0,100.0
h00,1059344429161942577,African,0.9,2.5940030129715867e-05,0.0,0.0,2.5940030129715863e-05,0.0,99.99999999999999
h00,1059344429161942577,African,1.0,1.3199974388751588e-05,0.0,0.0,1.319997438875159e-05,0.0,100.00000000000001
h00,1059344429161942577,African,1.1,6.981092179537657e-06,0.0,0.0,6.981092179537659e-06,0.0,100.00000000000001
h00,1059344429161942577,African,1.2,3.7850905276916206e-06,0.0,0.0,3.7850905276916202e-06,0.0,99.99999999999999
h00,1059344429161942577,African,1.3,2.085856603600057e-06,0.0,0.0,2.085856603600057e-06,0.0,100.0
h00,1059344429161942577,European,0.7,0.0001558803870295689,0.0,0.0,0.00015588038702956888,0.0,99.99999999999997
h00,1059344429161942577,European,0.8,5.6593233722715415e-05,0.0,0.0,5.6593233722715415e-05,0.0,100.0
