pop,category,len>0_score!=0,len>0_score==0,len==0_score==0,hXX,simID
p3,A,495,5,0,h00,1675567405057576839
p3,B,253,247,0,h00,1675567405057576839
p3,C,13,154,333,h00,1675567405057576839
p3,Non-ROH,500,0,0,h00,1675567405057576839
p1,A,462,38,0,h00,1683235848236138391
p1,B,127,358,15,h00,1683235848236138391
p1,C,21,80,399,h00,1683235848236138391
p1,Non-ROH,500,0,0,h00,1683235848236138391
p2,A,491,9,0,h00,1683235848236138391
p2,B,321,179,0,h00,1683235848236138391
p2,C,23,105,372,h00,1683235848236138391
p2,Non-ROH,500,0,0,h00,1683235848236138391
p3,A,493,7,0,h00,1683235848236138391
p3,B,332,168,0,h00,1683235848236138391
p3,C,17,100,383,h00,1683235848236138391
p3,Non-ROH,500,0,0,h00,1683235848236138391
p1,A,405,95,0,h00,1686481830113721127
p1,B,92,391,17,h00,1686481830113721127
p1,C,42,104,354,h00,1686481830113721127
p1,Non-ROH,500,0,0,h00,1686481830113721127
p2,A,481,19,0,h00,1686481830113721127
p2,B,204,296,0,h00,1686481830113721127
p2,C,17,105,378,h00,1686481830113721127
p2,Non-ROH,500,0,0,h00,1686481830113721127
p3,A,489,11,0,h00,1686481830113721127
p3,B,308,192,0,h00,1686481830113721127
p3,C,12,157,331,h00,1686481830113721127
p3,Non-ROH,500,0,0,h00,1686481830113721127
p1,A,455,45,0,h00,1697761245837672091
p1,B,123,363,14,h00,1697761245837672091
p1,C,24,118,358,h00,1697761245837672091
p1,Non-ROH,500,0,0,h00,1697761245837672091
p2,A,494,6,0,h00,1697761245837672091
p2,B,217,283,0,h00,1697761245837672091
p2,C,14,104,382,h00,1697761245837672091
p2,Non-ROH,500,0,0,h00,1697761245837672091
p3,A,497,3,0,h00,1697761245837672091
p3,B,334,166,0,h00,1697761245837672091
p3,C,15,113,372,h00,1697761245837672091
p3,Non-ROH,500,0,0,h00,1697761245837672091
p1,A,417,83,0,h00,1741910082241347924
p1,B,74,415,11,h00,1741910082241347924
p1,C,33,106,361,h00,1741910082241347924
p1,Non-ROH,500,0,0,h00,1741910082241347924
p2,A,492,8,0,h00,1741910082241347924
p2,B,221,279,0,h00,1741910082241347924
p2,C,14,101,385,h00,1741910082241347924
p2,Non-ROH,500,0,0,h00,1741910082241347924
p3,A,488,12,0,h00,1741910082241347924
p3,B,218,282,0,h00,1741910082241347924
p3,C,15,110,375,h00,1741910082241347924
p3,Non-ROH,500,0,0,h00,1741910082241347924
p1,A,436,64,0,h00,1758916382348960481
p1,B,102,383,15,h00,1758916382348960481
p1,C,30,110,360,h00,1758916382348960481
p1,Non-ROH,500,0,0,h00,1758916382348960481
p2,A,477,23,0,h00,1758916382348960481
p2,B,202,298,0,h00,1758916382348960481
p2,C,7,114,379,h00,1758916382348960481
p2,Non-ROH,500,0,0,h00,1758916382348960481
p3,A,490,10,0,h00,1758916382348960481
p3,B,283,217,0,h00,1758916382348960481
p3,C,18,133,349,h00,1758916382348960481
p3,Non-ROH,500,0,0,h00,1758916382348960481
p1,A,443,57,0,h00,1760919415129066732
p1,B,126,358,16,h00,1760919415129066732
p1,C,21,92,387,h00,1760919415129066732
p1,Non-ROH,500,0,0,h00,1760919415129066732
p2,A,487,13,0,h00,1760919415129066732
p2,B,246,254,0,h00,1760919415129066732
p2,C,23,171,306,h00,1760919415129066732
p2,Non-ROH,500,0,0,h00,1760919415129066732
p3,A,499,1,0,h00,1760919415129066732
p3,B,342,158,0,h00,1760919415129066732
p3,C,20,126,354,h00,1760919415129066732
p3,Non-ROH,500,0,0,h00,1760919415129066732
p1,A,424,76,0,h00,1776755804422427172
p1,B,96,392,12,h00,1776755804422427172
p1,C,35,84,381,h00,1776755804422427172
p1,Non-ROH,500,0,0,h00,1776755804422427172
p2,A,483,17,0,h00,1776755804422427172
p2,B,233,267,0,h00,1776755804422427172
p2,C,20,133,347,h00,1776755804422427172
p2,Non-ROH,500,0,0,h00,1776755804422427172
p3,A,493,7,0,h00,1776755804422427172
p3,B,307,193,0,h00,1776755804422427172
p3,C,19,178,303,h00,1776755804422427172
p3,Non-ROH,500,0,0,h00,1776755804422427172
p1,A,367,133,0,h00,1788482744701747849
p1,B,95,389,16,h00,1788482744701747849
p1,C,26,94,380,h00,1788482744701747849
p1,Non-ROH,500,0,0,h00,1788482744701747849
p2,A,469,31,0,h00,1788482744701747849
p2,B,228,272,0,h00,1788482744701747849
p2,C,10,151,339,h00,1788482744701747849
p2,Non-ROH,500,0,0,h00,1788482744701747849
