"pop","tau","hXX",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",1.1,"dominant","per_cM_all_log","Long ROH","Non-ROH",500,500,6486,0.000000000000000000000000000000000000000000000000000000000000000000145,0.000000000000000000000000000000000000000000000000000000000000000000725,"***"
"African",1.1,"mixed","per_cM_all_log","Short ROH","Medium ROH",500,500,108487,0.00000000000000000000000000000000000000000000108,0.00000000000000000000000000000000000000000000432,"***"
"African",1.1,"mixed","per_cM_all_log","Short ROH","Long ROH",500,500,116631,0.0000000000000000000000000000000000000000000000000000000000000115,0.0000000000000000000000000000000000000000000000000000000000000575,"***"
"African",1.1,"mixed","per_cM_all_log","Short ROH","Non-ROH",500,500,124642,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000481,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000289,"***"
"African",1.1,"mixed","per_cM_all_log","Medium ROH","Long ROH",500,500,90190,0.0000000000000000149,0.0000000000000000298,"***"
"African",1.1,"mixed","per_cM_all_log","Medium ROH","Non-ROH",500,500,51800,0.000812,0.000812,"***"
"African",1.1,"mixed","per_cM_all_log","Long ROH","Non-ROH",500,500,25032,0.00000000000000000000000000000029,0.00000000000000000000000000000087,"***"
"African",1.2,"recessive","per_cM_all_log","Short ROH","Medium ROH",500,500,30427,0.0000000000000000000000226,0.0000000000000000000000678,"***"
"African",1.2,"recessive","per_cM_all_log","Short ROH","Long ROH",500,500,52458,0.002,0.003,"**"
"African",1.2,"recessive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"recessive","per_cM_all_log","Medium ROH","Long ROH",500,500,72613,0.002,0.003,"**"
"African",1.2,"recessive","per_cM_all_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"recessive","per_cM_all_log","Long ROH","Non-ROH",500,500,125184,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000189,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"additive","per_cM_all_log","Short ROH","Medium ROH",500,500,118932,0.0000000000000000000000000000000000000000000000000000000000000000000584,0.000000000000000000000000000000000000000000000000000000000000000000234,"***"
"African",1.2,"additive","per_cM_all_log","Short ROH","Long ROH",500,500,121789,0.00000000000000000000000000000000000000000000000000000000000000000000000000773,0.0000000000000000000000000000000000000000000000000000000000000000000000000464,"***"
"African",1.2,"additive","per_cM_all_log","Short ROH","Non-ROH",500,500,119249,0.0000000000000000000000000000000000000000000000000000000000000000000105,0.0000000000000000000000000000000000000000000000000000000000000000000525,"***"
"African",1.2,"additive","per_cM_all_log","Medium ROH","Long ROH",500,500,96599,0.0000000000000000000000000773,0.0000000000000000000000000773,"***"
"African",1.2,"additive","per_cM_all_log","Medium ROH","Non-ROH",500,500,21283,0.000000000000000000000000000000000000186,0.000000000000000000000000000000000000372,"***"
"African",1.2,"additive","per_cM_all_log","Long ROH","Non-ROH",500,500,9243,0.000000000000000000000000000000000000000000000000000000000000287,0.000000000000000000000000000000000000000000000000000000000000861,"***"
"African",1.2,"dominant","per_cM_all_log","Short ROH","Medium ROH",500,500,116747,0.00000000000000000000000000000000000000000000000000000000000000628,0.0000000000000000000000000000000000000000000000000000000000000251,"***"
"African",1.2,"dominant","per_cM_all_log","Short ROH","Long ROH",500,500,122551,0.0000000000000000000000000000000000000000000000000000000000000000000000000000993,0.000000000000000000000000000000000000000000000000000000000000000000000000000596,"***"
"African",1.2,"dominant","per_cM_all_log","Short ROH","Non-ROH",500,500,106694,0.00000000000000000000000000000000000000000253,0.00000000000000000000000000000000000000000506,"***"
"African",1.2,"dominant","per_cM_all_log","Medium ROH","Long ROH",500,500,96575,0.0000000000000000000000000836,0.0000000000000000000000000836,"***"
"African",1.2,"dominant","per_cM_all_log","Medium ROH","Non-ROH",500,500,15736,0.0000000000000000000000000000000000000000000000111,0.0000000000000000000000000000000000000000000000333,"***"
"African",1.2,"dominant","per_cM_all_log","Long ROH","Non-ROH",500,500,5264,0.000000000000000000000000000000000000000000000000000000000000000000000185,0.000000000000000000000000000000000000000000000000000000000000000000000925,"***"
"African",1.2,"mixed","per_cM_all_log","Short ROH","Medium ROH",500,500,107394,0.000000000000000000000000000000000000000000127,0.000000000000000000000000000000000000000000508,"***"
"African",1.2,"mixed","per_cM_all_log","Short ROH","Long ROH",500,500,116645,0.0000000000000000000000000000000000000000000000000000000000000107,0.0000000000000000000000000000000000000000000000000000000000000535,"***"
"African",1.2,"mixed","per_cM_all_log","Short ROH","Non-ROH",500,500,121947,0.00000000000000000000000000000000000000000000000000000000000000000000000000315,0.0000000000000000000000000000000000000000000000000000000000000000000000000189,"***"
"African",1.2,"mixed","per_cM_all_log","Medium ROH","Long ROH",500,500,90516,0.00000000000000000621,0.0000000000000000124,"***"
"African",1.2,"mixed","per_cM_all_log","Medium ROH","Non-ROH",500,500,45586,0.000000135,0.000000135,"***"
"African",1.2,"mixed","per_cM_all_log","Long ROH","Non-ROH",500,500,21212,0.000000000000000000000000000000000000141,0.000000000000000000000000000000000000423,"***"
"African",1.3,"recessive","per_cM_all_log","Short ROH","Medium ROH",500,500,30353,0.0000000000000000000000179,0.0000000000000000000000537,"***"
