hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,2231209458305127871,p2,0,0,500,0,1,70,429,0,377,90,33,0,0,0,500,0
h00,2231209458305127871,p3,0,0,500,0,0,24,476,0,310,143,47,0,0,0,500,0
h00,2248913045146814560,p1,0,2,498,0,13,244,243,0,372,64,64,0,0,0,500,0
h00,2248913045146814560,p2,0,0,500,0,0,103,397,0,391,62,47,0,0,0,500,0
h00,2248913045146814560,p3,0,0,500,0,0,54,446,0,295,161,44,0,0,0,500,0
h00,2261080031299322371,p1,0,0,500,0,19,225,256,0,365,75,60,0,0,0,500,0
h00,2261080031299322371,p2,0,0,500,0,0,50,450,0,384,82,34,0,0,0,500,0
h00,2261080031299322371,p3,0,0,500,0,0,47,453,0,373,99,28,0,0,0,500,0
h00,2270685292642668965,p1,0,0,500,0,15,254,231,0,383,62,55,0,0,0,500,0
h00,2270685292642668965,p2,0,0,500,0,0,99,401,0,380,84,36,0,0,0,500,0
h00,2270685292642668965,p3,0,0,500,0,0,38,462,0,362,100,38,0,0,0,500,0
h00,2276589658571010949,p1,0,1,499,0,10,236,254,0,375,68,57,0,0,0,500,0
h00,2276589658571010949,p2,0,0,500,0,0,118,382,0,315,152,33,0,0,0,500,0
h00,2276589658571010949,p3,0,0,500,0,0,61,439,0,298,154,48,0,0,0,500,0
h00,2325391773764637243,p1,0,2,498,0,15,236,249,0,363,69,68,0,0,0,500,0
h00,2325391773764637243,p2,0,0,500,0,0,89,411,0,363,87,50,0,0,0,500,0
h00,2325391773764637243,p3,0,0,500,0,0,34,466,0,366,91,43,0,0,0,500,0
h00,2333974635431175188,p1,0,0,500,0,15,232,253,0,383,63,54,0,0,0,500,0
h00,2333974635431175188,p2,0,0,500,0,0,59,441,0,353,105,42,0,0,0,500,0
h00,2333974635431175188,p3,0,0,500,0,0,44,456,0,277,189,34,0,0,0,500,0
h00,2341198055877650802,p1,0,0,500,0,10,269,221,0,383,70,47,0,0,0,500,0
h00,2341198055877650802,p2,0,0,500,0,0,103,397,0,387,74,39,0,0,0,500,0
h00,2341198055877650802,p3,0,0,500,0,0,46,454,0,368,107,25,0,0,0,500,0
h00,2348161418297934513,p1,0,0,500,0,18,236,246,0,353,87,60,0,0,0,500,0
h00,2348161418297934513,p2,0,0,500,0,0,75,425,0,366,101,33,0,0,0,500,0
h00,2348161418297934513,p3,0,0,500,0,0,58,442,0,364,84,52,0,0,0,500,0
h00,2377990193666223348,p1,0,0,500,0,14,219,267,0,372,67,61,0,0,0,500,0
h00,2377990193666223348,p2,0,0,500,0,0,53,447,0,387,68,45,0,0,0,500,0
h00,2377990193666223348,p3,0,0,500,0,0,27,473,0,386,85,29,0,0,0,500,0
h00,2398732858742842846,p1,0,0,500,0,11,200,289,0,367,64,69,0,0,0,500,0
h00,2398732858742842846,p2,0,0,500,0,0,60,440,0,377,74,49,0,0,0,500,0
h00,2398732858742842846,p3,0,0,500,0,0,24,476,0,392,74,34,0,0,0,500,0
h00,2402059822941775694,p1,0,1,499,0,10,252,238,0,374,82,44,0,0,0,500,0
h00,2402059822941775694,p2,0,0,500,0,0,99,401,0,337,135,28,0,0,0,500,0
h00,2402059822941775694,p3,0,0,500,0,0,73,427,0,335,133,32,0,0,0,500,0
h00,2414559306889225485,p1,0,0,500,0,19,247,234,0,373,68,59,0,0,0,500,0
h00,2414559306889225485,p2,0,0,500,0,1,89,410,0,373,90,37,0,0,0,500,0
h00,2414559306889225485,p3,0,0,500,0,0,45,455,0,302,153,45,0,0,0,500,0
h00,2419367695980860718,p1,0,1,499,0,13,262,225,0,378,55,67,0,0,0,500,0
h00,2419367695980860718,p2,0,0,500,0,0,103,397,0,394,68,38,0,0,0,500,0
h00,2419367695980860718,p3,0,0,500,0,0,44,456,0,383,86,31,0,0,0,500,0
h00,2421630746348809573,p1,0,1,499,0,21,241,238,0,366,76,58,0,0,0,500,0
h00,2421630746348809573,p2,0,0,500,0,0,93,407,0,377,80,43,0,0,0,500,0
