hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,2231209458305127871,p2,0,0,500,0,1,0,499,0,377,21,102,0,0,0,500,0
h00,2231209458305127871,p3,0,0,500,0,0,0,500,0,310,109,81,0,0,0,500,0
h00,2248913045146814560,p1,0,0,500,0,13,34,453,0,372,22,106,0,0,0,500,0
h00,2248913045146814560,p2,0,0,500,0,0,1,499,0,391,44,65,0,0,0,500,0
h00,2248913045146814560,p3,0,0,500,0,0,0,500,0,295,137,68,0,0,0,500,0
h00,2261080031299322371,p1,0,0,500,0,19,38,443,0,365,15,120,0,0,0,500,0
h00,2261080031299322371,p2,0,0,500,0,0,1,499,0,384,21,95,0,0,0,500,0
h00,2261080031299322371,p3,0,0,500,0,0,1,499,0,373,4,123,0,0,0,500,0
h00,2270685292642668965,p1,0,0,500,0,15,39,446,0,383,11,106,0,0,0,500,0
h00,2270685292642668965,p2,0,0,500,0,0,0,500,0,380,6,114,0,0,0,500,0
h00,2270685292642668965,p3,0,0,500,0,0,0,500,0,362,13,125,0,0,0,500,0
h00,2276589658571010949,p1,0,0,500,0,10,38,452,0,375,10,115,0,0,0,500,0
h00,2276589658571010949,p2,0,0,500,0,0,0,500,0,315,18,167,0,0,0,500,0
h00,2276589658571010949,p3,0,0,500,0,0,0,500,0,298,21,181,0,0,0,500,0
h00,2325391773764637243,p1,0,0,500,0,15,43,442,0,363,34,103,0,0,0,500,0
h00,2325391773764637243,p2,0,0,500,0,0,1,499,0,363,58,79,0,0,0,500,0
h00,2325391773764637243,p3,0,0,500,0,0,0,500,0,366,57,77,0,0,0,500,0
h00,2333974635431175188,p1,0,0,500,0,15,42,443,0,383,22,95,0,0,0,500,0
h00,2333974635431175188,p2,0,0,500,0,0,0,500,0,353,50,97,0,0,0,500,0
h00,2333974635431175188,p3,0,0,500,0,0,0,500,0,277,100,123,0,0,0,500,0
h00,2341198055877650802,p1,0,0,500,0,10,44,446,0,383,29,88,0,0,0,500,0
h00,2341198055877650802,p2,0,0,500,0,0,1,499,0,387,44,69,0,0,0,500,0
h00,2341198055877650802,p3,0,0,500,0,0,1,499,0,368,54,78,0,0,0,500,0
h00,2348161418297934513,p1,0,0,500,0,18,50,432,0,353,13,134,0,0,0,500,0
h00,2348161418297934513,p2,0,0,500,0,0,1,499,0,366,11,123,0,0,0,500,0
h00,2348161418297934513,p3,0,0,500,0,0,1,499,0,364,6,130,0,0,0,500,0
h00,2377990193666223348,p1,0,0,500,0,14,50,436,0,372,10,118,0,0,0,500,0
h00,2377990193666223348,p2,0,0,500,0,0,0,500,0,387,7,106,0,0,0,500,0
h00,2377990193666223348,p3,0,0,500,0,0,0,500,0,386,4,110,0,0,0,500,0
h00,2398732858742842846,p1,0,0,500,0,11,58,431,0,367,40,93,0,0,0,500,0
h00,2398732858742842846,p2,0,0,500,0,0,1,499,0,377,53,70,0,0,0,500,0
h00,2398732858742842846,p3,0,0,500,0,0,0,500,0,392,54,54,0,0,0,500,0
h00,2402059822941775694,p1,0,0,500,0,10,45,445,0,374,28,98,0,0,0,500,0
h00,2402059822941775694,p2,0,0,500,0,0,1,499,0,337,66,97,0,0,0,500,0
h00,2402059822941775694,p3,0,0,500,0,0,0,500,0,335,64,101,0,0,0,500,0
h00,2414559306889225485,p1,0,0,500,0,19,41,440,0,373,8,119,0,0,0,500,0
h00,2414559306889225485,p2,0,0,500,0,1,3,496,0,373,13,114,0,0,0,500,0
h00,2414559306889225485,p3,0,0,500,0,0,1,499,0,302,5,193,0,0,0,500,0
h00,2419367695980860718,p1,0,0,500,0,13,48,439,0,378,6,116,0,0,0,500,0
h00,2419367695980860718,p2,0,0,500,0,0,0,500,0,394,11,95,0,0,0,500,0
h00,2419367695980860718,p3,0,0,500,0,0,0,500,0,383,7,110,0,0,0,500,0
h00,2421630746348809573,p1,0,0,500,0,21,55,424,0,366,11,123,0,0,0,500,0
h00,2421630746348809573,p2,0,0,500,0,0,1,499,0,377,10,113,0,0,0,500,0
